"address","_c1","rank"
"001XX E 51ST ST","954","518"
"058XX N SHERIDAN RD","953","519"
"027XX W MADISON ST","952","520"
"002XX W NORTH AVE","951","521"
"050XX S LAFLIN ST","951","521"
"011XX N PULASKI RD","951","521"
"049XX W WALTON ST","950","524"
"080XX S ASHLAND AVE","948","525"
"016XX N WELLS ST","948","525"
"028XX W 63RD ST","948","525"
"028XX N CLYBOURN AVE","947","528"
"052XX W CONGRESS PKWY","946","529"
"081XX S INGLESIDE AVE","944","530"
"055XX S ASHLAND AVE","943","531"
"062XX S VERNON AVE","942","532"
"057XX W MADISON ST","942","532"
"087XX S COTTAGE GROVE AVE","941","534"
"016XX N HARLEM AVE","941","534"
"003XX W 35TH ST","940","536"
"060XX S WESTERN AVE","939","537"
"0000X E WACKER DR","938","538"
"028XX N MILWAUKEE AVE","936","539"
"059XX W NORTH AVE","936","539"
"001XX W JACKSON BLVD","936","539"
"015XX E 55TH ST","936","539"
"001XX W 35TH ST","936","539"
"007XX N PINE AVE","935","544"
"058XX S MICHIGAN AVE","935","544"
"050XX W HURON ST","933","546"
"075XX S CONSTANCE AVE","933","546"
"056XX S WABASH AVE","932","548"
"054XX S DAMEN AVE","929","549"
"034XX W MONROE ST","928","550"
"025XX W ADDISON ST","927","551"
"048XX W GLADYS AVE","927","551"
"004XX N MICHIGAN AVE","926","553"
"009XX N CAMBRIDGE AVE","926","553"
"052XX S PULASKI RD","926","553"
"011XX S LAFLIN ST","925","556"
"049XX W FERDINAND ST","925","556"
"076XX N BOSWORTH AVE","923","558"
"035XX S STATE ST","923","558"
"034XX W CHICAGO AVE","922","560"
"002XX W ONTARIO ST","922","560"
"009XX N ASHLAND AVE","922","560"
"076XX S HALSTED ST","921","563"
"023XX N CLARK ST","921","563"
"014XX W WEBSTER AVE","920","565"
"056XX S BISHOP ST","919","566"
"078XX S COLES AVE","918","567"
"079XX S ELLIS AVE","918","567"
"006XX N ST CLAIR ST","918","567"
"047XX S ASHLAND AVE","916","570"
"010XX N SPRINGFIELD AVE","916","570"
"038XX W DIVISION ST","914","572"
"012XX W NORTH AVE","914","572"
"049XX W ADAMS ST","914","572"
"015XX N PULASKI RD","914","572"
"033XX W BELMONT AVE","913","576"
"036XX S LAKE PARK AVE","913","576"
"003XX N LARAMIE AVE","912","578"
"029XX W WILCOX ST","911","579"
"038XX N BROADWAY","907","580"
"063XX S DAMEN AVE","907","580"
"079XX S STATE ST","904","582"
"042XX W JACKSON BLVD","904","582"
"027XX W CERMAK RD","903","584"
"021XX S LAFLIN ST","903","584"
"012XX S AVERS AVE","901","586"
"075XX S STEWART AVE","900","587"
"056XX S DR MARTIN LUTHER KING JR DR","899","588"
"012XX W 76TH ST","898","589"
"026XX N CLARK ST","898","589"
"078XX S COTTAGE GROVE AVE","898","589"
"021XX N MILWAUKEE AVE","898","589"
"039XX W WILCOX ST","896","593"
"020XX E 71ST ST","895","594"
"016XX W 79TH ST","895","594"
"025XX W 63RD ST","895","594"
"058XX S MARYLAND AVE","895","594"
"007XX S MICHIGAN AVE","895","594"
"015XX N ROCKWELL ST","895","594"
"033XX N WESTERN AVE","893","600"
"008XX N ORLEANS ST","893","600"
"071XX S DR MARTIN LUTHER KING JR DR","893","600"
"033XX W DOUGLAS BLVD","892","603"
"007XX W DIVISION ST","892","603"
"063XX S ARTESIAN AVE","892","603"
"045XX W NORTH AVE","891","606"
"068XX S DORCHESTER AVE","890","607"
"035XX N BROADWAY","890","607"
"0000X N WESTERN AVE","890","607"
"048XX S ASHLAND AVE","890","607"
"034XX W DOUGLAS BLVD","887","611"
"045XX N MAGNOLIA AVE","886","612"
"040XX N ASHLAND AVE","883","613"
"047XX W HURON ST","882","614"
"0000X W 111TH ST","882","614"
"048XX S PRAIRIE AVE","880","616"
"032XX N SHEFFIELD AVE","880","616"
"070XX S CHAPPEL AVE","879","618"
"056XX W DIVISION ST","878","619"
"008XX N SEDGWICK ST","878","619"
"062XX S ARTESIAN AVE","878","619"
"035XX S DR MARTIN LUTHER KING JR DR","876","622"
"083XX S INGLESIDE AVE","875","623"
"042XX S MICHIGAN AVE","874","624"
"002XX N LARAMIE AVE","874","624"
"063XX S ROCKWELL ST","873","626"
"087XX S STONY ISLAND AVE","873","626"
"044XX W MADISON ST","873","626"
"033XX W LAWRENCE AVE","871","629"
"083XX S COTTAGE GROVE AVE","870","630"
"069XX N SHERIDAN RD","870","630"
"004XX N WABASH AVE","869","632"
"064XX N CLARK ST","869","632"
"027XX N HOYNE AVE","868","634"
"017XX E 67TH ST","866","635"
"032XX N LECLAIRE AVE","866","635"
"075XX S SOUTH SHORE DR","866","635"
"055XX W VAN BUREN ST","865","638"
"013XX W ESTES AVE","864","639"
"061XX S EVANS AVE","864","639"
"014XX W LAKE ST","862","641"
"042XX W MONROE ST","862","641"
"067XX S STONY ISLAND AVE","862","641"
"034XX W WALNUT ST","862","641"
"025XX E 79TH ST","861","645"
"013XX S LAWNDALE AVE","860","646"
"051XX W WASHINGTON BLVD","860","646"
"080XX S MARYLAND AVE","859","648"
"026XX S CALIFORNIA AVE","859","648"
"032XX W CERMAK RD","858","650"
"080XX S INGLESIDE AVE","857","651"
"051XX S WENTWORTH AVE","857","651"
"077XX S ESSEX AVE","857","651"
"035XX W DOUGLAS BLVD","857","651"
"067XX S MERRILL AVE","855","655"
"047XX W MADISON ST","855","655"
"072XX S PHILLIPS AVE","854","657"
"081XX S MARYLAND AVE","854","657"
"076XX S ESSEX AVE","854","657"
"070XX S STONY ISLAND AVE","853","660"
"078XX S WESTERN AVE","853","660"
"082XX S COTTAGE GROVE AVE","852","662"
"064XX S STONY ISLAND AVE","851","663"
"073XX S HALSTED ST","851","663"
"072XX S HALSTED ST","850","665"
"032XX N HALSTED ST","850","665"
