"unsafearea.address","unsafearea.total_crimes","unsafearea.rank","crime.latitude","crime.longitude"
"083XX S BURLEY AVE","360","3914","41.743777759","-87.545459054"
"091XX S MARQUETTE AVE","97","16255","41.728956971","-87.55814356"
"008XX W 103RD ST","343","4217","41.70691318","-87.643137352"
"039XX W FULLERTON AVE","789","791","41.924491602","-87.725945966"
"033XX W POTOMAC AVE","708","1019","41.904624874","-87.710349275"
"030XX W FOSTER AVE","30","28844","41.975773347","-87.705147628"
"049XX W HUBBARD ST","1123","335","41.888658818","-87.748967416"
"008XX N MICHIGAN AVE","6859","4","41.897895128","-87.624096605"
"059XX W ERIE ST","244","6773","41.891895815","-87.773512438"
"022XX S AVERS AVE","172","9999","41.850977613","-87.721077561"
"082XX S ANTHONY AVE","115","14361","41.745322297","-87.580167594"
"023XX N MILWAUKEE AVE","681","1109","41.923496895","-87.698315197"
"083XX S STONY ISLAND AVE","480","2315","41.743978654","-87.585371967"
"012XX S WABASH AVE","3168","14","41.866810739","-87.625817031"
"100XX W OHARE ST","14393","1","41.976290414","-87.905227221"
"020XX S WESTERN AVE","151","11380","41.854529505","-87.685702859"
"127XX S MORGAN ST","135","12593","41.662591741","-87.646275132"
"049XX W NORTH AVE","1441","165","41.909567137","-87.750576916"
"033XX W CULLOM AVE","132","12840","41.959338282","-87.711699074"
"044XX S PRAIRIE AVE","486","2263","41.813915801","-87.619719493"
"071XX S RIDGELAND AVE","620","1337","41.764766614","-87.582410772"
"077XX S SAGINAW AVE","431","2850","41.754617522","-87.559967842"
"063XX S DR MARTIN LUTHER KING JR DR","4442","7","41.779276522","-87.615601416"
"005XX N CENTRAL AVE","956","516","",""
"066XX S GREENWOOD AVE","460","2538","41.774121147","-87.599707985"
"040XX W FOSTER AVE","439","2761","41.97551745","-87.729569215"
"053XX S LAFLIN ST","656","1188","41.796992847","-87.662232032"
"060XX S HONORE ST","338","4311","41.784397344","-87.670400636"
"064XX S KNOX AVE","108","15099","41.776049027","-87.738552383"
"101XX S PROSPECT AVE","96","16373","41.70934024","-87.662316775"
"051XX N KENMORE AVE","178","9636","41.975594996","-87.65639212"
"023XX W NORTH AVE","418","3033","41.910344161","-87.685605555"
"016XX N BELL AVE","196","8733","41.910985857","-87.683582118"
"032XX N CICERO AVE","958","515","41.939314951","-87.746876909"
"053XX S KEDZIE AVE","581","1537","41.796939201","-87.703651531"
"0000X W 71ST ST","539","1822","41.765444001","-87.626906181"
"080XX S STEWART AVE","351","4073","41.748301279","-87.634236391"
"002XX S CENTRAL AVE","281","5680","41.877190249","-87.764751052"
"042XX W MADISON ST","1856","86","41.880658831","-87.731336981"
"008XX S STATE ST","688","1087","41.871461723","-87.627517093"
"039XX W MADISON ST","1904","78","41.88074522","-87.724300365"
"067XX S GREEN ST","418","3033","41.771628951","-87.645790993"
"016XX N LARAMIE AVE","301","5130","41.909826336","-87.755710531"
"109XX S DOTY AVE E","227","7414","41.695908161","-87.595822806"
"023XX W GARFIELD BLVD","301","5130","41.793468027","-87.681572634"
"056XX S PAULINA ST","428","2893","41.791652523","-87.666955877"
"066XX S PERRY AVE","221","7654","41.773600901","-87.628385732"
"022XX N STOCKTON DR","351","4073","41.922450447","-87.635737508"
"0000X W ADAMS ST","263","6148","41.87942917","-87.62990071"
"035XX S LEAVITT ST","287","5511","41.829580097","-87.680142381"
"040XX W 26TH ST","963","505","41.844243782","-87.725321944"
"073XX W FOSTER AVE","363","3857","41.97443857","-87.81119077"
"023XX N CLARK ST","921","563","41.924745454","-87.63995305"
"044XX S PRAIRIE AVE","486","2263","41.814028331","-87.619721913"
"023XX W ADAMS ST","270","5961","41.878610544","-87.684769434"
"048XX W HUTCHINSON ST","249","6603","41.957974159","-87.748202221"
"008XX N LATROBE AVE","393","3383","41.89554551","-87.756841955"
"088XX S COTTAGE GROVE AVE","504","2107","41.73440216","-87.604769183"
